"","Total_Score","Liked_By_Members","Quality_Of_Life_Score","Family_Score","Community_Score","Cost","Internet","Fun","Humidity_now","Air_Quality_Now","Air_Quality_Annual","Safety","Food_Safety","Lack_Of_Crime","Lack_Of_Racism","Education_Level","Power_Grid","Vulnerability_To_Climate_Change","Income_Level","English_Speaking","People_Density","Walkability","Peace","Traffic_Safety","Hospitals","Happiness","Nightlife","Free_Wifi_In_City","Places_To_Work_From","AC_Or_Heating","Friendly_To_Foreigners","Freedom_Of_Speech","Female_Friendly","LGBTQ_Friendly","Startup_Score","City","Rank","Unliked_By_Members","Temperature_now_celcius","Temperature_now_Farenheight","Temperature_now_Feels_Like_Celcius","Temperature_now_Feels_Like_Farenheight"
"1",4.87,66,"Good","Okay","Great","1,335 ",85,"Good",49,78,55,"Good","Good","Good","Bad","Mediocre","Great","Okay","493 ","Bad",5,"Great","Okay","Bad","Great","Good","Great","Great","Great","Great","Great","Okay","Good","Good","Bad","bangkok",1,34,35,95,41,106
"2",4.59,100,"Good","Good","Good","2,828 ",65,"Great",55,41,41,"Great","Great","Great","Bad","High","Great","Bad","3,220 ","Bad",4,"Great","Good","Okay","Great","Okay","Great","Bad","Great","Great","Okay","Good","Good","Good","Okay","tokyo",2,0,21,69,21,70
"3",4.49,56,"Good","Okay","Great","1,580 ",77,"Good",96,42,24,"Okay","Great","Okay","Good","High","Great","Good","1,037 ","Bad",NA,"Great","Okay","Okay","Great","Bad","Great","Okay","Great","Okay","Good","Good","Okay","Great","Okay","buenos-aires",3,44,23,73,23,73
"4",4.48,85,"Good","Okay","Good","2,035 ",65,"Good",30,NA,55,"Bad","Great","Bad","Bad","Mediocre","Great","Great","704 ","Bad",9,"Great","Bad","Okay",NA,"Bad","Good","Bad","Great","Great","Good","Okay","Okay","Great","Bad","mexico-city",4,15,27,80,26,79
"5",4.29,90,"Good","Okay","Good","959 ",64,"Okay",35,130,58,"Good","Bad","Good","Bad","Mediocre","Great","Okay","493 ","Bad",3,"Great","Okay","Bad","Great","Good","Bad","Okay","Great","Okay","Okay","Okay","Good","Okay","Bad","chiang-mai",5,10,37,99,41,106
"6",4.29,80,"Good","Okay","Good","1,217 ",84,"Bad",88,55,39,"Good","Good","Good",NA,"Mediocre","Great","Good","792 ","Okay",4,"Okay","Good","Bad","Great","Bad","Bad","Good","Great","Okay","Okay","Okay","Bad","Bad","Okay","kuala-lumpur",6,20,28,82,33,91
"7",4.24,92,"Good","Good","Good","2,584 ",96,"Good",61,61,75,"Great","Good","Great","Bad","High","Great","Good","2,315 ","Bad",17,"Bad","Okay","Okay","Great","Okay","Great","Great","Great","Great","Good","Good","Great","Okay","Okay","seoul",7,8,15,59,16,61
"8",4.24,100,"Good","Good","Good","2,810 ",72,"Great",50,61,72,"Great","Great","Great","Bad","High","Great","Good","1,436 ","Okay",19,"Great","Okay","Okay","Good","Okay","Good","Good","Great","Okay","Good","Good","Okay","Okay","Okay","athens",8,0,22,72,22,72
"9",4.14,100,"Good","Okay","Good","1,621 ",56,"Great",69,NA,NA,"Great","Bad","Good","Great","Mediocre","Great","Okay","493 ","Bad",NA,"Bad","Okay","Bad",NA,"Good","Good","Bad","Great","Okay","Great","Okay","Great","Great","Okay","ko-pha-ngan",9,0,29,85,32,90
"10",4.09,100,"Good","Good","Good","950 ",38,"Okay",69,NA,NA,"Good","Good","Good","Good","Mediocre","Great","Good","792 ","Good",NA,"Okay","Good","Bad","Good","Bad","Good","Great","Good","Okay","Great","Okay","Great","Okay","Okay","penang",10,0,30,86,35,95
"11",4.08,100,"Good","Good","Okay","1,622 ",51,"Bad",77,61,15,"Great","Good","Great","Bad","High","Great","Good","1,013 ","Good",NA,"Great","Good","Okay","Great","Okay","Okay","Good","Great","Great","Good","Good","Okay","Bad","Okay","zagreb",11,0,15,59,16,61
"12",4.02,88,"Good","Okay","Good","2,166 ",90,"Good",71,78,16,"Bad","Good","Very bad","Okay","Mediocre","Okay","Great","425 ","Great",4,"Great","Bad","Bad","Good","Bad","Good","Okay","Great","Bad","Good","Good","Okay","Great","Okay","cape-town",12,12,22,72,22,72
"13",4.02,100,"Good","Good","Good","2,963 ",81,"Great",84,NA,71,"Great","Good","Great","Bad","High","Great",NA,"3,662 ","Okay",NA,"Great",NA,"Okay",NA,"Okay","Great","Bad","Great","Great","Okay","Bad","Okay","Good","Okay","hong-kong",13,0,27,81,31,88
"14",3.99,100,"Good","Okay","Good","2,281 ",51,"Okay",68,76,139,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Okay",NA,"Great","Good","Okay","Great","Okay","Okay","Okay","Great","Okay","Okay","Good","Bad","Bad","Okay","krakow",14,0,9,48,7,45
"15",3.93,100,"Good","Good","Okay","2,136 ",73,"Okay",71,NA,NA,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Bad","Good","Okay","Good","Bad","Okay","Bad","Bad","Okay","Good","Great","Okay","Great","Okay","portimao",15,0,20,68,21,70
"16",3.91,92,"Good","Good","Good","3,151 ",89,"Good",47,63,50,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Okay",6,"Great","Okay","Okay","Great","Bad","Okay","Good","Great","Great","Good","Good","Great","Great","Okay","valencia",16,8,22,72,22,72
"17",3.9,93,"Good","Okay","Good","2,371 ",102,"Okay",78,53,34,"Good","Good","Good","Bad","High","Great","Good","1,075 ","Okay",NA,"Great","Good","Okay","Good","Okay","Good","Bad","Great","Good","Okay","Good","Okay","Bad","Okay","budapest",17,7,12,54,11,52
"18",3.9,100,"Good","Good","Okay","2,963 ",126,"Good",65,NA,24,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Okay",NA,"Great","Okay","Okay","Good","Bad","Okay","Okay","Great","Okay","Good","Good","Okay","Great","Okay","alicante",18,0,20,68,21,70
"19",3.87,100,"Good","Good","Okay","3,267 ",38,"Good",90,46,29,"Great","Great","Good","Good","High","Great","Great","3,612 ","Good",2,"Great","Good","Okay","Great","Great","Good","Great","Great","Bad","Great","Great","Great","Great","Okay","helsinki",19,0,5,40,3,37
"20",3.86,100,"Good","Okay","Okay","1,641 ",23,"Bad",85,59,15,"Great","Good","Great","Bad","High","Great","Good","1,013 ","Good",NA,"Great","Good","Okay","Good","Okay","Bad","Good","Great","Good","Good","Good","Okay","Okay","Okay","rijeka",20,0,13,55,12,54
"21",3.86,100,"Good","Good","Okay","3,651 ",53,"Great",82,NA,NA,"Great","Great","Great","Great","Mediocre","Great","Good","1,646 ","Great",NA,"Great","Good","Okay",NA,"Bad","Good","Great","Great","Good","Great","Great","Great","Great","Okay","costa-da-caparica",21,0,20,69,21,70
"22",3.86,100,"Good","Good","Okay","2,023 ",36,"Great",85,NA,NA,"Great","Great","Great","Okay","High","Great","Good","2,225 ","Okay",NA,"Great","Okay","Okay",NA,"Bad","Bad","Bad","Good","Bad","Good","Good","Good","Great","Okay","fuerteventura",22,0,20,67,20,68
"23",3.84,90,"Good","Okay","Good","2,690 ",99,"Okay",63,64,56,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Good",4,"Great","Good","Okay","Good","Okay","Okay","Okay","Great","Okay","Good","Good","Bad","Bad","Okay","warsaw",23,10,10,50,9,48
"24",3.83,100,"Okay","Okay","Okay","1,791 ",38,"Good",77,NA,NA,"Good","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Good",NA,"Okay","Bad","Okay",NA,"Bad","Okay","Okay",NA,NA,NA,"Okay","Okay","Bad","Okay","siargao",24,0,29,83,34,93
"25",3.83,100,"Okay","Okay","Okay","1,342 ",21,"Okay",62,77,160,"Good","Good","Good",NA,"Mediocre","Great",NA,"430 ","Okay",NA,"Great","Okay","Okay",NA,"Okay","Bad","Okay","Bad","Okay","Okay","Good","Bad","Bad","Bad","skopje",25,0,17,62,18,64
"26",3.81,100,"Good","Good","Okay","2,123 ",41,"Bad",71,NA,NA,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Bad","Good","Okay",NA,"Bad","Bad","Great","Bad","Great","Good","Great","Good","Great","Okay","lagos-algarve",26,0,20,68,21,70
"27",3.81,100,"Good","Good","Good","4,964 ",97,"Great",65,32,37,"Great","Great","Great","Great","High","Great","Very bad","4,478 ","Great",7,"Great","Good","Okay",NA,"Great","Great","Great","Great","Good","Great","Great","Great","Great","Good","copenhagen",27,0,9,47,7,45
"28",3.8,100,"Good","Okay","Okay","2,256 ",35,"Okay",63,65,43,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Okay",NA,"Great","Good","Okay","Good","Okay","Okay","Okay","Great",NA,"Good","Good","Bad","Bad","Okay","wroclaw",28,0,9,49,7,45
"29",3.78,100,"Good","Okay","Okay","2,755 ",60,"Great",74,37,43,"Great","Great","Great","Good","High","Great","Bad","3,220 ","Bad",NA,"Great","Good","Okay","Great","Okay","Good","Bad","Great","Great","Bad","Good","Good","Okay","Bad","kyoto",29,0,19,67,19,66
"30",3.78,76,"Good","Good","Good","2,882 ",97,"Okay",60,31,10,"Great","Great","Great","Okay","Mediocre","Great","Good","1,646 ","Good",NA,"Great","Good","Okay","Great","Bad","Okay","Okay","Great","Great","Good","Great","Good","Great","Okay","porto",30,24,21,70,21,70
"31",3.77,78,"Good","Okay","Good","1,909 ",31,"Great",82,50,NA,"Great","Okay","Great","Great","Mediocre","Great","Good","298 ","Bad",4,"Great","Okay","Bad",NA,"Okay","Okay","Okay","Great","Okay","Good","Okay","Good","Good","Okay","ubud",31,22,29,83,35,95
"32",3.74,100,"Good","Good","Okay","3,396 ",54,"Great",65,97,56,"Great","Great","Great","Bad","High","Great","Okay","1,534 ","Okay",4,"Great","Good","Okay","Great","Good","Great","Okay","Great","Okay","Good","Great","Great","Good","Okay","prague",32,0,9,48,7,45
"33",3.73,100,"Good","Okay","Okay","2,291 ",18,"Good",44,NA,59,"Good","Good","Good","Okay","Mediocre","Great","Very bad","301 ","Okay",NA,"Great","Okay","Bad","Bad","Bad","Okay","Okay","Great","Okay","Okay","Good","Good","Bad","Okay","yerevan",33,0,17,63,17,63
"34",3.73,100,"Good","Good","Okay","3,782 ",43,"Good",40,NA,36,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",1,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Great","Good","Good","Okay","Great","Okay","atlanta",34,0,28,83,28,82
"35",3.73,73,"Okay","Okay","Good","3,484 ",47,"Okay",75,48,137,"Great","Great","Great","Okay","Mediocre","Great","Good","3,135 ","Bad",3,"Great","Okay","Okay","Good","Bad","Bad","Okay","Great","Great","Okay","Okay","Okay","Bad","Okay","dubai",35,27,25,78,25,77
"36",3.72,100,"Good","Good","Okay","4,118 ",86,"Okay",31,NA,30,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",2,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Okay","Good","Good","Bad","Great","Okay","denver",36,0,19,67,19,66
"37",3.72,89,"Good","Good","Good","4,231 ",95,"Great",81,33,19,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Great",5,"Great","Good","Okay","Bad","Bad","Great","Bad","Great","Great","Great","Great","Great","Great","Good","munich",37,11,8,46,5,41
"38",3.7,100,"Good","Okay","Okay","898 ",45,"Okay",70,NA,36,"Good","Good","Good","Bad","Low","Great",NA,"181 ","Bad",NA,"Bad","Okay","Bad",NA,"Bad","Okay","Okay","Great","Great","Okay","Bad","Bad","Okay","Bad","hoi-an",38,0,30,86,35,95
"39",3.68,100,"Good","Okay","Okay","1,005 ",80,"Bad",85,55,55,"Good","Good","Good",NA,"Mediocre","Great","Good","792 ","Okay",NA,"Great","Good","Bad","Okay","Bad","Bad","Bad","Great","Bad","Okay","Okay","Bad","Bad","Bad","johor-bahru",39,0,28,83,33,91
"40",3.65,37,"Okay","Okay","Good","1,871 ",58,"Great",80,50,NA,"Great","Okay","Great","Great","Mediocre","Great","Good","298 ","Okay",8,"Okay","Okay","Bad",NA,"Okay","Great","Great","Great","Okay","Great","Okay","Good","Good","Okay","canggu",40,63,28,83,32,90
"41",3.63,100,"Good","Good","Okay","3,512 ",31,"Okay",76,30,27,"Great","Good","Great","Great","Very high","Great","Good","3,353 ","Great",NA,"Great","Good","Okay","Great","Okay","Okay","Great","Great","Okay","Great","Great","Great","Great","Okay","wellington",41,0,15,59,14,57
"42",3.62,100,"Good","Good","Okay","3,701 ",53,"Okay",81,NA,32,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Good","Good","Great","Good","Good","Good","Bad","Great","Okay","san-antonio",42,0,32,90,44,111
"43",3.6,83,"Good","Okay","Okay","1,967 ",22,"Okay",74,4,10,"Great","Good","Great","Bad","High","Great","Good","1,013 ","Good",NA,"Great","Good","Okay","Okay","Okay","Bad","Okay","Great","Bad","Good","Good","Good","Okay","Okay","split",43,17,17,62,17,63
"44",3.6,88,"Good","Okay","Good","2,161 ",44,"Great",84,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",7,"Great","Okay","Bad","Great","Bad","Great","Good","Great","Good","Good","Good","Okay","Great","Bad","rio-de-janeiro",44,12,28,82,32,90
"45",3.59,75,"Good","Good","Good","3,903 ",91,"Great",74,43,23,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Great",4,"Great","Good","Okay","Great","Bad","Great","Great","Great","Bad","Great","Great","Great","Great","Good","berlin",45,25,9,47,8,46
"46",3.59,89,"Good","Good","Okay","3,797 ",74,"Great",85,NA,38,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Good","Okay","Great",NA,"Good","Good","Bad","Great","Good","austin",46,11,31,88,42,108
